Comment,Sentiment,Themes,Date,Score,Sentiment
Really easy to set up and fund an …. Really easy to set up and fund an account. The app is very user-friendly and feels secure. Projections of interest on savings is a valuable feature.,0.92,"'app design : very easy' , 'ease of use : easy to setup' , 'ease of use : easy to use' , 'customer service : friendly' , 'interest rates : savings rate' , 'app design : usability'",14/12/2017,5,0.92
I found the whole experience in dealing …. I found the whole experience in dealing with atom bank very efficient and I’m very pleased with how easy it was to open an account,0.73,"'opening accounts : easy to open an account' , 'opening accounts : open an account' , 'overall experience : very efficient'",15/12/2017,5,0.73
First impressions. I would need to see how the admin works at the end of a fixed term savings before giving a full 5 stars. But setting up the account and making a first deposit were straightforward.,0.08,"'customer activity : set up an account' , 'savings account : fixed term savings'",16/12/2017,4,0.08
Quite difficult if you are not tecky. I found this app a bit difficult and not intuitive and as I'm not that tecky it did put me off. But I persevered and once you get through it it's worth it.,-0.03,'overall experience : bit confusing',18/12/2017,4,-0.03
No problems as yet!. Nothing a problem... early days yet,0.44,'other',19/12/2017,4,0.44
"All went smoothly. All went smoothly, excellent communication when money went into my fixed savings. Interesting security features, looks like the future to me. Very good so far.",0.93,"'customer service : good communication' , 'savings account : fixed term savings'",20/12/2017,5,0.93
Very simple to use. Very simple to use,0.86,'ease of use : easy to use',20/12/2017,5,0.86
Like the idea. Like the idea. can be difficult to get my face recognised if the light is not good,0.01,'authentication : face recognition',20/12/2017,4,0.01
Easy set up if account. Easy set up if account. Clear visability on the App.,0.57,'ease of use : easy to set up an account',20/12/2017,5,0.57
Very helpful.. Very helpful.,0.48,'customer service : helpful staff',20/12/2017,5,0.48
"Excellent savings rates. Excellent savings rates, easy to use app - even for an old chap like myself!!",0.93,"'ease of use : easy to use' , 'interest rates : good interest rates' , 'use the app : use the app' , 'interest rates : savings rate'",20/12/2017,5,0.93
Easy to use app to setup account. Easy to use app to account setup via mobile phone with text updates to let you know when your money arrives into the account.I would recommend this new bank with high fixed interest rates if you can afford to lockaway money for your chosen fixed term. I went for the one year fixed rate at 1.9% which is way better than any other safe no risk saving account.,0.71,"'accounts : account online' , 'savings account : savings account' , 'device : mobile phone' , 'ease of use : easy to use' , 'interest rates : fixed interest' , 'savings account : year fixed rate' , 'savings account : fixed term savings' , 'use the app : use the app' , 'updates : updates'",20/12/2017,5,0.71
Very easy to use. Very easy to use - everything in language that was easy to understand and relate to.,0.82,"'ease of use : easy to understand' , 'ease of use : easy to use'",20/12/2017,5,0.82
Easy to use and great at helping if you …. Easy to use and great at helping if you have any problems using the app,0.97,"'ease of use : easy to use' , 'use the app : use the app'",20/12/2017,5,0.97
So easy to use. So easy to use,0.91,'ease of use : easy to use',20/12/2017,5,0.91
Great service. Great service. Very attentive. Wish other banks could compete.atom for explosive service,0.76,'customer service : good service',20/12/2017,5,0.76
Setting up my account was very quick …. Setting up my account was very quick and much easier than other accounts.,0.72,"'ease of use : very easy to set up account' , 'ease of use : easy to use'",20/12/2017,5,0.72
I’m a new customer Early days but so …. I’m a new customer Early days but so far so good,0.49,'other',20/12/2017,5,0.49
Great app.. Great. Very easy to establish account and to use the app.,0.9,"'ease of use : easy to use' , 'app quality : great app' , 'use the app : use the app'",20/12/2017,5,0.9
Atom bank. Simple and easy,0.57,'other',20/12/2017,5,0.57
"Good App. Good App. Straight forward honest contract as far as I can see. Deposit your money within a reasonable timeframe, draw your interest monthly or annually.",0.81,"'savings account : deposit money' , 'app quality : great app'",20/12/2017,5,0.81
Great to use once you have worked out …. Great to use once you have worked out the website. Hard to see how to get started but once you do then no problems at all. Good to get a text as soon as money deposited.,0.59,"'savings account : deposit money' , 'use the app : app sometimes works' , 'website : website'",20/12/2017,5,0.59
Pleasantly surprised how easy my …. Pleasantly surprised how easy my transaction was. I love the app and its security features. I very rarely take part in reviews but on this occasions I believe applauds are due.,0.56,"'use the app : good security' , 'use the app : love the app'",20/12/2017,5,0.56
"Would recommend. Easy and quick to set up, no problem depositing funds in the time frame, face recognition works a treat. You know what you will be getting at the end of the fixed rate, would and have been recommending Atom to family and friends. No messing with high street banks. And actually feel my investment is in a safe place.",0.73,"'atom : recommend atom' , 'atom : street banks' , 'ease of use : easy to setup' , 'authentication : face recognition' , 'authentication : biometric not working'",20/12/2017,5,0.73
"A good bank to invest with. A good bank to invest with, with a good security procedure that means I feel my investment is that bit safer.",0.3,"'atom : great bank' , 'atom : invest with your bank' , 'use the app : good security'",20/12/2017,5,0.3
It was all so easy thanks to the simple …. It was all so easy thanks to the simple to follow instructions.,0.94,'other',20/12/2017,5,0.94
"Easiest Account I have ever opened. Easiest Account I have ever opened, highly recommended.",0.87,"'opening accounts : easy to open an account' , 'opening accounts : open an account'",20/12/2017,5,0.87
Made me Appy!. Very easy to set up account and use the app which is also easy and clear. Easy access on phone. No long drawn out messaging system which is merciful! . Very friendly efficient staff when called them. Slight niggle in that also wanted to set up account for children only to find out interest rate had reduced without warning!,0.26,"'ease of use : easy to access' , 'ease of use : very easy to set up account' , 'customer activity : set up an account' , 'customer service : call centre' , 'ease of use : clear and easy' , 'accounts : dependants' , 'app quality : app easy' , 'ease of use : easy to use' , 'customer service : friendly' , 'interest rates : interest rates' , 'use the app : use the app' , 'customer service : staff'",20/12/2017,5,0.26
"Excellent Secure  Convenient Bankring …. Excellent Secure Convenient Banking App. Great rates, savings plans and fast and efficient service updates to my phone.",0.96,"'use the app : banking apps' , 'interest rates : good interest rates' , 'use the app : good security' , 'interest rates : savings rate' , 'updates : updates'",20/12/2017,5,0.96
Easy to join Good interest rates …. Easy to join Good interest rates compared to others,0.6,"'ease of use : easy to setup' , 'interest rates : good interest rates'",20/12/2017,5,0.6
Refreshingly easy.. Clear and easy to choose your account and set it up. Love the app which allows me to view my account quickly amongst other things. If they had a current account I would switch tomorrow.,0.83,"'accounts : current account' , 'customer activity : set up an account' , 'ease of use : clear and easy' , 'use the app : love the app'",20/12/2017,5,0.83
Good interest rate and good website. Good interest rate and good website,0.59,"'interest rates : good interest rates' , 'app quality : great app' , 'website : website'",20/12/2017,5,0.59
"great app. great app! been a customer for a short time, but it's very easy and user friendly, and offers very good rates",0.83,"'ease of use : very quick and easy' , 'ease of use : easy to use' , 'customer service : friendly' , 'interest rates : good interest rates' , 'app quality : great app' , 'app design : usability'",20/12/2017,5,0.83
Very clear and straight forward …. Very clear and straight forward application process. Seems refreshingly different,0.65,"'app design : application process' , 'ease of use : clear and easy'",20/12/2017,5,0.65
Easy to set up and once I got use to …. Easy to set up and once I got use to the modern way the app worked easy to use.,0.88,"'ease of use : easy to setup' , 'ease of use : easy to use' , 'use the app : app sometimes works'",20/12/2017,4,0.88
Good interest rate and easy to see and …. Good interest rate and easy to see and manage on my iPhone app,0.76,"'interest rates : good interest rates' , 'device : iphone'",20/12/2017,5,0.76
I’m 61 and have only slightly above …. I’m 61 and have only slightly above average ability on a pc for my age; I found the application to be straightforward and the prompts encouraging.,0.23,'ease of use : quick and efficient',20/12/2017,5,0.23
New investor. I must admit I was a bit apprehensive about investing but the service I received was clear and concise and my worries disappeared almost immediately. There is also a phone line with very helpful people to suppress your worries.,0.3,'customer service : helpful staff',20/12/2017,5,0.3
"Great service. Great service, answered queries over the phone promptly and efficiently. App is easy to use.",0.83,"'app quality : app easy' , 'ease of use : easy to use' , 'customer service : good service'",20/12/2017,5,0.83
At first all went well but trying to …. At first all went well but trying to login using face recognition didn't work well with my features but this seems to be rectified.  If facial recognition didn't work there was meant to be another route but this was inconsistent and on many occasions it froze me out. Once again this might have been sorted but not need to use it for a while now. Final point they had a good rate but this was cut without notice. Score would would be 3.5 so it's getting better.,0.08,"'authentication : face recognition' , 'interest rates : good interest rates' , 'authentication : face recognition does not work' , 'authentication : recognition never works'",20/12/2017,3,0.08
Great savings rate with a very handy app. Great savings rate with a very handy app,0.93,"'interest rates : good interest rates' , 'customer service : handy' , 'interest rates : savings rate'",20/12/2017,5,0.93
"Pluses and minuses. App worked OK. Still feel insecure about App only access...... for instance, how do I contact bank should it get into difficulty or lose details of my account?
Opened two savings accounts.... only emailed details of the first one opened. Sounds state-of-the-art but misses the point that security and stability are key to a relaxed customer",0.12,"'use the app : access the app' , 'accounts : account details' , 'opening accounts : open savings account' , 'app design : aesthetics' , 'use the app : app sometimes works'",20/12/2017,3,0.12
Best rates for 1 year bond. Best rates for 1 year bond,0.92,'savings account : year bond',20/12/2017,5,0.92
"Good experience. Great help from the staff via a phone call, easier accessible online.",0.58,"'customer service : call centre' , 'app quality : app easy' , 'ease of use : easy to use' , 'overall experience : good experience' , 'customer service : helpful staff'",20/12/2017,5,0.58
You bank by using their app. You bank by using their app. It does put off some people I know but for a vast majority of people who use smartphones find it a very easy and convenient way of managing accounts.  I love it.,0.58,"'atom : use your bank' , 'ease of use : easy to use' , 'use the app : use the app'",20/12/2017,5,0.58
"Very easy to set up. Very easy to set up an account, no gimmicks, just great rates!",0.88,"'ease of use : very easy to set up account' , 'ease of use : easy to setup' , 'ease of use : easy to use' , 'interest rates : good interest rates'",20/12/2017,5,0.88
So far so good. So far so good.  Easy to get started with clear guidance,0.83,'other',20/12/2017,4,0.83
"Easy to set up and use. Easy to set up and use, the app isn’t fantastic but does the job.",0.46,"'ease of use : easy to setup' , 'use the app : use the app'",20/12/2017,5,0.46
"At last - a reasonable interest rate on savings!. Found out about Atom Bank whilst watching Martin Lewis. Easy to set up the account and compared with the past several years, I’ve found a bank offering a reasonable interest rate. Fixed rate and I only had to tie up my money for a year.  So far, so good!",-0.11,"'ease of use : easy to set up an account' , 'interest rates : savings rate'",20/12/2017,5,-0.11
Easy and straightforward. Easy and straightforward,0.86,'other',20/12/2017,5,0.86
"Security is impressive. Security is impressive, disadvantage if you are unable to have access to an app, Ihave opened a 3 year bond, my wife would like to open one also but we only have one I pad between us",-0.04,"'use the app : access the app' , 'savings account : year bond' , 'opening accounts : open fixed saver'",20/12/2017,4,-0.04
"Excellent service. Excellent service, helpful online advise",0.88,"'customer service : good service' , 'customer service : handy'",20/12/2017,5,0.88
Great service. Great service. Live chat was amazing,0.98,'customer service : good service',20/12/2017,5,0.98
"Easy to access. Easy to access, straight forward in getting registered, liked how the security worked which made me feel confident.",0.75,'ease of use : easy to access',20/12/2017,5,0.75
Fast efficient user friendly!. Fast efficient user friendly!,0.89,"'ease of use : quick and efficient' , 'customer service : friendly' , 'app design : usability'",20/12/2017,5,0.89
"Potential Security Issue. whereas it was comparitively easy to open an account I think security could be tightened, for example , you only need to use 1 of the 3 criteria to access your account. I would make it any 2 of 3.",0.07,"'customer activity : access my account' , 'opening accounts : easy to open an account' , 'opening accounts : open an account'",20/12/2017,4,0.07
"Facial recognition &voice don't work …. Facial recognition &voice don't work very well.
Easy & quick to set up & helpful phone line.",0.01,"'ease of use : easy to setup' , 'authentication : face recognition' , 'authentication : face and voice' , 'authentication : voice recognition'",20/12/2017,5,0.01
Great so far. Applied to open an account which was done immediately and the account number provided straightaway. Also received confirmation by text that the transfer into the account had been received. Super speedy and great service so far.,0.84,"'opening accounts : open an account' , 'accounts : transfer funds' , 'customer service : good service'",21/12/2017,5,0.84
"I was a bit duibious at first - but now not!. I was a bit duibious at first about using an app for banking, being so security conscious. However, the app is so simple to use it made me feel a lot more comfortable. I have only just transferred money into the account, but would definitely recommend for other people to use.",0.59,"'use the app : banking apps' , 'app quality : app easy' , 'ease of use : easy to use' , 'customer activity : transfer money'",21/12/2017,5,0.59
Brilliant website and easy to set up.. Brilliant website and easy to set up.,0.96,"'ease of use : easy to set up the app' , 'website : website'",21/12/2017,5,0.96
Very straight forward to download the …. Very straight forward to download the app and set up an account.,0.76,"'customer activity : set up an account' , 'downloading : download the app' , 'ease of use : easy to use' , 'set up the app : set up the app'",21/12/2017,5,0.76
Very good rate and very easy to use app.. Very good rate and very easy to use app.,0.9,"'ease of use : easy to use' , 'interest rates : good interest rates' , 'use the app : use the app'",21/12/2017,5,0.9
It was very easy to set up an account …. It was very easy to set up an account and the website works well Interest rates offered are very competitive.,0.65,"'ease of use : very easy to set up account' , 'accounts : account online' , 'interest rates : very competitive' , 'ease of use : easy to use' , 'use the app : app sometimes works' , 'website : website'",21/12/2017,5,0.65
"Brilliant. Brilliant, Easy to join and invest.

Good security and protected under FCS",0.95,"'ease of use : easy to setup' , 'ease of use : easy to use' , 'use the app : good security'",21/12/2017,5,0.95
Smooth account opening process. Just opened an account recently. Very easy process and all smooth so far,0.54,"'opening accounts : open an account' , 'opening accounts : account opening process' , 'ease of use : straightforward process' , 'ease of use : easy to use'",21/12/2017,5,0.54
"Quick and easy to open.. I have always been wary of operating a bank account on a mobile phone but the interest rate on offer from Atom made me overcome this fear.  It was really easy to open, only took minutes.  I like the fact that they tell you exactly what interest you are going to get each month for the whole period of the bond.  I've only given it 4 stars and not 5 because we have very poor mobile reception where we live so that is an issue when they send texts but that's not their fault.",-0.22,"'accounts : bank account' , 'atom : use your bank' , 'device : mobile phone' , 'ease of use : easy to open' , 'overall experience : very poor' , 'interest rates : interest rates'",21/12/2017,4,-0.22
Very helpful when I had a problem. Very helpful when I had a problem,0.63,'customer service : helpful staff',21/12/2017,5,0.63
A bank to choose. Easy to join and feels secure,0.63,'ease of use : easy to setup',21/12/2017,5,0.63
I like it. I like it. Easy to follow.  Only disadvantage u have to upgraded mobile which was problem for me.  I wish this was online available.,0.56,'other',21/12/2017,5,0.56
"Easy to set up. Easy to se tup, no problems",0.68,'ease of use : easy to setup',21/12/2017,5,0.68
"Really easy to set up. Really easy to set up, transfers were quick and I can look at the app at any time to check on things.",0.95,"'ease of use : easy to transfer money' , 'ease of use : easy to setup'",21/12/2017,5,0.95
It was straight forward to create an …. It was straight forward to create an account using their mobile app. I liked the notifications when money transfers arrived in my account.,0.79,"'use the app : mobile apps' , 'customer activity : transfer money'",21/12/2017,4,0.79
Simple and convenient. Setting up an account was really easy and the fixed savings rates were better than I could find elsewhere. No problems at all so far!,0.85,"'ease of use : easy to set up an account' , 'savings account : fixed term savings' , 'interest rates : better rates' , 'interest rates : savings rate'",21/12/2017,5,0.85
"Excellent service with good interest rates,& everything made easy.. Really good systems.If necessary to raise a query or question response is good & efficient.Interest rates are always good compared with other banks.Would really recommend this Bank to anyone.5star rating",0.6,"'interest rates : good interest rates' , 'customer service : good service'",21/12/2017,5,0.6
A great bank with fantastic service and …. A great bank with fantastic service and my only concern is that it is sometimes awkward to sign in to the app using face recognition.,0.62,"'atom : great bank' , 'authentication : face recognition' , 'customer service : good service' , 'use the app : use the app'",21/12/2017,4,0.62
After getting confused by other banks i …. After getting confused by other banks i found Atom so easy to understand and to use. Set my account up it no time. With excellent security. Everything is so clear and easy to understand.,0.9,"'customer activity : set up an account' , 'ease of use : atom is easy' , 'ease of use : clear and easy' , 'ease of use : easy to understand' , 'use the app : good security'",21/12/2017,5,0.9
App easy to use. App easy to use. Don't be scared of the new technology; it's brilliant. Customer service phone line also answered quickly. A new way to bank and leaves traditional banks behind.,0.63,"'customer service : customer service' , 'app quality : app easy' , 'ease of use : easy to use'",21/12/2017,5,0.63
Easy to setup and use.. Easy to setup and use.,0.7,'ease of use : easy to setup',21/12/2017,5,0.7
Straight forward  secure banking app …. Straight forward  secure banking app easy to use,0.54,"'use the app : banking apps' , 'app quality : app easy' , 'ease of use : easy to use'",21/12/2017,5,0.54
"Easy to set up. Easy to set up, great security, and a good rate!",0.96,"'ease of use : easy to setup' , 'interest rates : good interest rates' , 'use the app : good security'",21/12/2017,5,0.96
"Great account, straightforward opening. Opened an Atom account, the process was easy and straightforward. Great way to earn more interest for your cash.",0.98,"'opening accounts : easy to open an account' , 'ease of use : straightforward process'",21/12/2017,5,0.98
A very happy customer. A very happy customer.  Still find the app a little quirky and not always easy to navigate round.,0.58,"'ease of use : easy to use' , 'overall experience : very happy'",21/12/2017,4,0.58
Easy to use. Only short time to finance the account once it is set up but otherwise easy to use and modern features which I haven't seen with other banks,0.16,"'customer activity : set up an account' , 'ease of use : easy to setup' , 'ease of use : easy to use'",21/12/2017,4,0.16
savings account. best one year fixed rate.App  only available on certain versions of phones and you cannot have the account in joint names yet.,0.53,"'savings account : savings account' , 'savings account : year fixed rate'",22/12/2017,4,0.53
only just joined you so far no problems. only just joined you so far no problems,0.36,'other',22/12/2017,4,0.36
Simple and easy web site and good …. Simple and easy web site and good products,0.65,"'app quality : app easy' , 'ease of use : easy to use' , 'app quality : great app' , 'website : website'",23/12/2017,4,0.65
Excellent Bank so easy to set up an …. Excellent Bank so easy to set up an account and very good interest rates,0.91,"'ease of use : easy to set up an account' , 'ease of use : easy banking' , 'atom : great bank' , 'ease of use : easy to setup' , 'interest rates : good interest rates'",24/12/2017,5,0.91
"Being new to Online Savings. Being new to Online Savings, I was naturally sceptical about the registration process.  However, I was pleasantly surprised with both the speed and ease in which I opened my account and passed through the various stages required to set up my fixed term deposit.  On the one occasion I sought reassurance through speaking to a representative, I was totally reassured by the quality of the advice and the professionalism.  As a new company, they have certainly set the bar high.",0.76,"'opening accounts : open an account' , 'savings account : fixed term savings' , 'app design : navigation' , 'register : register'",28/12/2017,5,0.76
"Ambiguous security questions. It took several attempts to open an account, as some of the security questions were either obscure or ambiguous.  However the helpline was very helpful and now that the account is open I am pleased with the service",0.26,"'opening accounts : open an account' , 'customer service : helpful staff'",29/12/2017,4,0.26
"Initially impressed but ....Chat …. Initially impressed but ....Chat assistance not knowledgeable, issues with app hanging, chewing battery, easy to sign up but very difficult to close.
All I wanted was my account closed at the end of the fixed term and my money returned, clearly that was very difficult I hate to deal with this bank if I had serious problems. In the time I waited for chat responses I set up a new online account with better interest rate and deposited funds, and they are a mature bank , more secure and more professional.",0.04,"'accounts : account online' , 'ease of use : easy to setup' , 'savings account : fixed term savings' , 'ease of use : difficult app' , 'interest rates : better interest rate' , 'app quality : app issues' , 'set up the app : set up the app' , 'register : register' , 'overall experience : waiting'",30/12/2017,1,0.04
"Just opened the account.. Just opened the account.
Very simple and easy.
Would give 5 stars but have not had the full experience yet.",0.16,"'opening accounts : open an account' , 'ease of use : straightforward process' , 'ease of use : easy to use'",31/12/2017,4,0.16
Very easy transaction.. Very easy transaction.,0.84,'ease of use : easy to use',04/01/2018,5,0.84
5 Stars for Atom Bank. Really easy to set up a fixed saver account and the Atom app works great.,0.86,"'savings account : saver account' , 'ease of use : easy to setup' , 'savings account : fixed term savings' , 'savings account : fixed saver' , 'use the app : app sometimes works'",05/01/2018,5,0.86
"Easy to set up. Easy to set up, good rates.",0.75,"'ease of use : easy to setup' , 'interest rates : good interest rates'",05/01/2018,5,0.75
Reserving judgement as you have not …. Reserving judgement as you have not communicated  v.ery much as yet!,-0.15,'other',05/01/2018,3,-0.15
Been really impressed with every aspect …. Been really impressed with every aspect of atm Brilliant,0.9,'other',05/01/2018,5,0.9
Always at the end of the phone or chat …. Always at the end of the phone or chat line for any questions or queries,0.27,'other',05/01/2018,5,0.27
"Professional and trustworthy. Atom Bank is the ‘New Kid On The Block’. I was initially a little cautious but have to say that Atom have proved themselves to be professional and trustworthy.
Their site is easy to navigate as is the setting up of a fixed rate saver account. Their interest rates are attractive and very competitive.
I would recommend Atom to friends and family and have done!",0.84,"'savings account : saver account' , 'atom : recommend atom' , 'interest rates : very competitive' , 'ease of use : easy to setup' , 'ease of use : easy to use' , 'savings account : fixed term savings' , 'website : website'",05/01/2018,5,0.84
"Easy site to use. Easy site to use , friendly helpful staff on the telephone no hanging around waiting to talk to someone , had emidiate notification of funds added to the account , excellent service , highly recommend them top notch .",0.69,"'customer service : call centre' , 'customer service : friendly' , 'customer service : good service' , 'customer service : helpful staff' , 'website : navigate the site' , 'overall experience : waiting' , 'website : website'",05/01/2018,5,0.69
Very easy to use and prompt reply’s to …. Very easy to use and prompt reply’s to any queries,0.77,'ease of use : easy to use',05/01/2018,5,0.77
An Old Fart's opinion. If I can enjoy online banking then anyone can.,0.25,'use the app : banking apps',05/01/2018,5,0.25
Easy to use and very good return for …. Easy to use and very good return for your money,0.93,'ease of use : easy to use',05/01/2018,5,0.93
Very easy and quick to use the app. Very easy and quick to use the app,0.97,"'ease of use : very quick and easy' , 'ease of use : easy to use' , 'use the app : use the app'",05/01/2018,5,0.97
Easy to use and great personal service. Easy to use and great personal service. Best rate on market when I wanted to deposit some money for 12 months,0.97,"'savings account : deposit money' , 'ease of use : easy to use'",05/01/2018,5,0.97
It's a weird experience.... It's a weird experience that is taking some getting used to but the benefits for savings are there to be experienced,0,'other',05/01/2018,4,0
Very efficient operation and first …. Very efficient operation and first class customer service,0.77,"'customer service : customer service' , 'overall experience : very efficient'",05/01/2018,5,0.77
Excellent service easy to use. Excellent service easy to use,0.97,"'ease of use : service easy' , 'ease of use : easy to use' , 'customer service : good service'",05/01/2018,5,0.97
"Well pleased. The account was easy to set up and the rate was good, well pleased.",0.4,"'ease of use : easy to set up an account' , 'interest rates : good interest rates'",05/01/2018,5,0.4
"Very easy to set up. Very easy to set up , Great user friendly site .",0.96,"'ease of use : easy to setup' , 'ease of use : easy to use' , 'customer service : friendly' , 'app design : usability' , 'website : website'",05/01/2018,5,0.96
"Great savings products and communications. Regarding savings products - really good rates and very good communications all the time, via texts and emails.   

I do find the app seems rather bloated and takes up a lot of space on my phone, so I only install it when I need to check my savings accounts, then uninstall until I need it again.  I tried installing on my iPad but this didn't seem to work at all.  Wish the app was better - looks pretty but that's about it.  Seems to be ' style over substance', imho!",0.13,"'savings account : savings account' , 'customer service : good communication' , 'interest rates : good interest rates' , 'device : ipad'",05/01/2018,3,0.13
"I'm very new to online banking but been …. I'm very new to online banking but been pressured into it by both my sons in their 20s. Atom is very straight forward,clear instructions to follow & great graphics.",0.28,"'use the app : banking apps' , 'ease of use : clear and easy' , 'app design : clear instructions' , 'ease of use : easy to use'",05/01/2018,5,0.28
"Impressive Bank. I have been really impressed with how easy I was able to set up an account and navigate the App, the online help brings an instant live response, the methods of identification and ease of access are really good as are the products, I know that we are all looking for better interest rates but Atom provides some of the best around.",0.54,"'customer activity : set up an account' , 'atom : excellent company' , 'ease of use : easy to setup' , 'interest rates : better interest rate' , 'use the app : use the app'",05/01/2018,5,0.54
Opening an account was so easy. Opening an account was so easy. Well done Atom.,0.62,"'opening accounts : easy to open an account' , 'opening accounts : open an account'",05/01/2018,5,0.62
"Clever app. Yes so far, so good the app is very clever 
Security is good.",0.8,"'app quality : great app' , 'use the app : good security'",05/01/2018,5,0.8
"Review of Atom Bank…. I have been with the bank for less than a month, so it's too early to make a judgement. The experience till now has been excellent: easy to use software, friendly and easily accessible customer care, clear display of what's on offer and interest rates, etc.",0.75,"'ease of use : easy to use' , 'overall experience : good experience' , 'customer service : friendly' , 'interest rates : interest rates'",05/01/2018,5,0.75
Very easy and good rates. Very easy and good rates,0.92,"'ease of use : easy to use' , 'interest rates : good interest rates'",05/01/2018,5,0.92
Easy to use with a great interest rate. Easy to use with a great interest rate. Very security conscious website.,0.93,"'ease of use : easy to use' , 'interest rates : good interest rates' , 'use the app : good security' , 'overall experience : very secure' , 'website : website'",05/01/2018,5,0.93
Quite simply...simple.. Quite simply...simple.,0.17,'other',05/01/2018,5,0.17
"Fully automated & online.. Fully automated & online.
Sensible user interface.",0.7,'app design : interface',05/01/2018,5,0.7
Simple. Simple clear and easy to use,0.74,"'ease of use : clear and easy' , 'ease of use : easy to use'",05/01/2018,5,0.74
Easy to open and manage the account. Easy to open and manage the account,0.62,'ease of use : easy to open',05/01/2018,5,0.62
Very quick and informative. Very quick and informative,0.7,"'ease of use : easy to use' , 'app design : informative'",05/01/2018,5,0.7
"Quick and easy to set up and transfer …. Quick and easy to set up and transfer cash in a secure savings account. 
A lot less hassle than a number of alternatives that had very similar rates. 
Would definitely recommend you!",0.87,"'savings account : savings account' , 'ease of use : easy to setup' , 'customer activity : transfer money'",05/01/2018,5,0.87
Very easy & simple to you app!. Very easy & simple to you app!,0.98,"'ease of use : very quick and easy' , 'app quality : app easy' , 'ease of use : easy to use'",05/01/2018,5,0.98
Quick and easy. Quick and easy. Wish my current account was as user friendly!,0.76,"'accounts : current account' , 'customer service : friendly' , 'app design : usability'",06/01/2018,5,0.76
Savings Account. Was really easy to set up a savings account,0.42,"'savings account : savings account' , 'ease of use : easy to setup'",06/01/2018,5,0.42
"Never had any problems. Never had any problems. Really quick to answer any queries, great company.",0.83,'atom : excellent company',06/01/2018,5,0.83
70+ female. As a 70+ female it was easy to open account. Good website.,0.38,"'opening accounts : easy to open an account' , 'opening accounts : open an account' , 'app quality : great app' , 'website : website'",06/01/2018,5,0.38
"Easy to set up and access. Easy to set up and access. Bio metric access appears to work well, and gives confidence with security. Interest rates competitive at the moment. Only time will tell whether this bank continues its good start.",0.47,"'interest rates : competitive interest rates' , 'ease of use : easy to setup'",06/01/2018,4,0.47
Good communication and products. Good communication and products. Some occasional issues with the app which were resolved to my satisfaction.,0.24,"'customer service : good communication' , 'app quality : app issues'",06/01/2018,4,0.24
"Easy to set up and friendly staff a …. Easy to set up and friendly staff a phone call away, making online banking a pleasurable experience. They were quick to turn a problem, which was my ex high street banks' fault, into a fast solution.
Not normally fully at ease with on line banking, but with their security arrangements, it puts my mind at rest.",0.19,"'use the app : banking apps' , 'atom : street banks' , 'customer service : call centre' , 'ease of use : easy to setup' , 'customer service : friendly' , 'customer service : staff'",06/01/2018,5,0.19
"User friendly. Martin Lewis recommendation.
Does what it says on the tin...",0.55,"'customer service : friendly' , 'app design : usability'",06/01/2018,5,0.55
Meets all our requirements. Meets all our requirements,0.83,'other',06/01/2018,5,0.83
"Personally simple and straight forward …but not easy for those without credit history. Personally simple and straight forward but my elderly dad tried to create an account but because he does not have a mobile phone account or a credit card Atom could not clear him for approval. 
Very disappointed after I had found a good account for him. When I spoke with Atom customer services they did not seem bothered at losing a customer.",-0.5,"'accounts : debit card' , 'customer service : customer service' , 'device : mobile phone' , 'overall experience : disappointed'",06/01/2018,4,-0.5
Have been trying for over a hour and …. Have been trying for over a hour and continually getting the busy screen. Not the first time this has happened.,-0.69,'other',07/01/2018,2,-0.69
Made life easy. Easy to do things; informed me that my fixed rate account was about to finish; contacted me to give me the options of what I could do rather than just investing in a lower rate account. V.good service overall,0.08,"'atom : range of products' , 'savings account : fixed term savings' , 'customer service : good service'",07/01/2018,5,0.08
Very quick and easy to setup.. Very quick and easy to setup.,0.91,"'ease of use : straightforward process' , 'ease of use : easy to setup' , 'ease of use : easy to use'",08/01/2018,5,0.91
"I have been with Atom almost from the …. I have been with Atom almost from the start and found them very straight forward and rewards are good.  They even sent me a £20 bonus voucher at Christmas for doing a bit of online app testing.  Never had a gift from a bank before!!!
A little disapionted on the delay of a current account but know its for the right reasons.  Hope its worth waiting for!!",0.04,"'accounts : current account' , 'ease of use : easy to use' , 'overall experience : waiting'",08/01/2018,5,0.04
SO FALL SO GOOD. SO FALL SO GOOD,0.9,'other',08/01/2018,5,0.9
"Very good. Very good,  queries answered over the phone, clear account information on tablet",0.49,'device : ipad',09/01/2018,5,0.49
Quickly set up account and have had no …. Quickly set up account and have had no issues with the app as previously mentioned in reviews. Saving rates better then larger banks. Will continue to use Atom if saving rates stay competitive.,0.3,"'customer activity : set up an account' , 'interest rates : better rates' , 'app quality : app issues' , 'interest rates : savings rate'",09/01/2018,5,0.3
"Easy use. Easy use, good rates, pleasant bank to deal with!",0.76,"'ease of use : easy to use' , 'interest rates : good interest rates'",10/01/2018,5,0.76
Excellent service. Excellent service,0.95,'customer service : good service',10/01/2018,5,0.95
"This is the second year that I've used …. This is the second year that I've used Atom Bank. Very easy to use phone app, and great financial products. Would highly recommend.",0.75,"'ease of use : easy to use' , 'app quality : great app' , 'device : app on my phone'",10/01/2018,5,0.75
Atom rating. I found it easy to set up and the phone app is simple to use.,0.33,"'app quality : app easy' , 'ease of use : easy to setup' , 'ease of use : easy to use' , 'device : app on my phone'",10/01/2018,5,0.33
