Comment,Sentiment,Themes,Date,Store,LEGACY - App Version,Score,Response contains,LEGACY - Device,LEGACY - Andriod OS Version,LEGACY - Topics,LEGACY - Custom Topics,Sentiment
Very good app for simple savings. Not much else.,0.19,"'app design : app is simple' , 'works well : very good' , 'app quality : great app'",30/07/2018,Google Play,2.2.4,5,Very good app for simple savings. Not much else.,,0,,,0.19
"Opening an account was relatively trouble free, though like others I'm not convinced about the Ui design. App could do with finger print login (like many other banking apps) and back button exit.",-0.07,"'account admin : opening an account' , 'banking services : banking apps' , 'app functionality : ui' , 'authentication : touch id' , 'authentication : logging in'",10/11/2016,Google Play,1.2.4,4,"Opening an account was relatively trouble free, though like others I'm not convinced about the Ui design. App could do with finger print login (like many other banking apps) and back button exit.",,0,,,-0.07
once set up easy and convenient,0.59,'app functionality : app set up',26/06/2019,Google Play,2.6.2,4,once set up easy and convenient,,0,,,0.59
"The idea is good, but when you can get a 1 year fixed rate @1.38% from non mobile only banks, it kind of defeats the purpose.  The app itself looks like something designed for a child opening their first account, not someone looking to store their savings in.Within the app there is a blatant lie regarding storing information. When you try and register and enter your details but cancel the process. It says nothing is stored, but when you try again with the same details it says you are already registered...",-0.16,'interest rates : fixed rate',08/01/2017,Google Play,1.3.4,1,"The idea is good, but when you can get a 1 year fixed rate @1.38% from non mobile only banks, it kind of defeats the purpose.  The app itself looks like something designed for a child opening their first account, not someone looking to store their savings in.Within the app there is a blatant lie regarding storing information. When you try and register and enter your details but cancel the process. It says nothing is stored, but when you try again with the same details it says you are already registered...",,2,,,-0.16
"What I really like is the ease of logging in with simple options that don't require me to memorise an impossibly complex password.  Will do more with it, I'm sure, as and when products are added to the range.",0.08,"'app design : options' , 'app design : app is simple' , 'authentication : logging in'",22/03/2018,Google Play,2.1,5,"What I really like is the ease of logging in with simple options that don't require me to memorise an impossibly complex password.  Will do more with it, I'm sure, as and when products are added to the range.",OnePlus 3,26,"Complexity, Design & UX, Satisfied users, Security & Accounts, Sign Up & Login",,0.08
Installed app Opened app Error - Interrupted Service This app has encountered a problem Uninstalled app,-0.85,"'install : installing the app' , 'app functionality : app fails' , 'access the app : open the app' , 'install : uninstalled the app'",21/02/2018,Google Play,,1,Installed app Opened app Error - Interrupted Service This app has encountered a problem Uninstalled app,,0,,,-0.85
It took me 28hrs to complete my investment and 30 attempts. The app needs work!,-0.48,'app functionality : app improvements',22/09/2017,Google Play,1.8.1,3,It took me 28hrs to complete my investment and 30 attempts. The app needs work!,,1,,,-0.48
Installed on my Xperia phone and works fine. Not had for long but I've done all I need to do with creating accounts and depositing money. Like the ways of signing in so for me it's a thumbs up,0.16,"'banking services : deposit money' , 'works well : works fine' , 'authentication : logging in'",02/11/2017,Google Play,1.8.1,4,Installed on my Xperia phone and works fine. Not had for long but I've done all I need to do with creating accounts and depositing money. Like the ways of signing in so for me it's a thumbs up,,1,,,0.16
"Easy and safe to use, far better interest on savings than the big banks and ofcourse the first 85k is safe, so all good.",0.47,'other',06/05/2019,Google Play,2.6.1,5,"Easy and safe to use, far better interest on savings than the big banks and ofcourse the first 85k is safe, so all good.",,1,,,0.47
"Had issue with my phone number not being added properly by financial 
advisor, resolved promptly by 24 hour call centre staff and app worked 
terrifically. Not sure why the low rating.",0.14,"'customer support : atom staff' , 'works well : quick' , 'app functionality : problem with my phone'",15/08/2018,Google Play,2.3,5,"Had issue with my phone number not being added properly by financial 
advisor, resolved promptly by 24 hour call centre staff and app worked 
terrifically. Not sure why the low rating.",,0,,,0.14
"It's coming up to the 12 month anniversary of my 1-year fixed rate saver. In that time I've seen no functional change at all in the app, despite the vast majority of reviews saying it's terrible. Awful user interface, slow animations, unintuitive controls. Still no actual current account. Starling Bank are making Atom look like a bunch of amatures. If they don't make some major changes soon, which practically requires scrapping the app and starting again, I don't think I'll be continuing my experiment as a customer.",-0.45,"'account admin : current account' , 'app functionality : ui' , 'banking services : starling bank' , 'app functionality : app crashes' , 'interest rates : fixed rate' , 'app functionality : functionality of the app' , 'app quality : negative reviews' , 'app functionality : slow'",26/08/2017,Google Play,1.8,1,"It's coming up to the 12 month anniversary of my 1-year fixed rate saver. In that time I've seen no functional change at all in the app, despite the vast majority of reviews saying it's terrible. Awful user interface, slow animations, unintuitive controls. Still no actual current account. Starling Bank are making Atom look like a bunch of amatures. If they don't make some major changes soon, which practically requires scrapping the app and starting again, I don't think I'll be continuing my experiment as a customer.",,0,,,-0.45
"This app is pretty bad. Simple list views with standard left to right navigation would be far preferable to bubbles heading in random directions. The back button doesn't seem to work, and you have very little idea where you're located in the navigation hierarchy. Drop the silly custom UI and stick to something a bit more tried and tested. This is a banking app, not a video game. You have literally lost my potential custom with the state of your app.",-0.44,"'banking services : banking apps' , 'app functionality : ui'",12/09/2016,Google Play,1.2.2,2,"This app is pretty bad. Simple list views with standard left to right navigation would be far preferable to bubbles heading in random directions. The back button doesn't seem to work, and you have very little idea where you're located in the navigation hierarchy. Drop the silly custom UI and stick to something a bit more tried and tested. This is a banking app, not a video game. You have literally lost my potential custom with the state of your app.",,2,,,-0.44
"I must confess, I do wonder what the role is for a phone only bank - I quite like a keyboard and a big screen. However, 2 % over 1 year is better than everywhere else at the moment.  Sign up was not easy. It took 3 attempts. First the passcode field would not take focus. Second the voice recognition took 5 attempts, before I rang support - in this time the app timed out. Third time lucky. You can then select how you log in - so it is rather annoying I had to go through the rigmarole of recording my voice for it to never be used again.  There are so many animations! I may be one of the most boring people ever. My phone screen is large enough for a fair amount of information.This app has this annoying purple blob that dances up your screen between each small nugget of information. Similarly, filling in forms are boring, no matter how much animation you add to it - it still has to be done. What is annoying with the Atom app is that the fields change size as you scroll. If you scroll over a field this then takes the focus and resets the field. It is fairly annoying that all of these fields could have been on one screen.  I'll stick with it and hope it improves!",-0.3,"'customer support : called helpline' , 'app quality : annoying' , 'authentication : voice recognition' , 'authentication : logging in'",12/09/2016,Google Play,1.2.2,2,"I must confess, I do wonder what the role is for a phone only bank - I quite like a keyboard and a big screen. However, 2 % over 1 year is better than everywhere else at the moment.  Sign up was not easy. It took 3 attempts. First the passcode field would not take focus. Second the voice recognition took 5 attempts, before I rang support - in this time the app timed out. Third time lucky. You can then select how you log in - so it is rather annoying I had to go through the rigmarole of recording my voice for it to never be used again.  There are so many animations! I may be one of the most boring people ever. My phone screen is large enough for a fair amount of information.This app has this annoying purple blob that dances up your screen between each small nugget of information. Similarly, filling in forms are boring, no matter how much animation you add to it - it still has to be done. What is annoying with the Atom app is that the fields change size as you scroll. If you scroll over a field this then takes the focus and resets the field. It is fairly annoying that all of these fields could have been on one screen.  I'll stick with it and hope it improves!",,0,,,-0.3
Fail. App home screen says that I have an old version. Play store says otherwise. App will not open.,-0.4,"'app issues : can't open app' , 'updates and versions : compared to previous version'",24/05/2017,Google Play,1.7.1,1,Fail. App home screen says that I have an old version. Play store says otherwise. App will not open.,,2,,,-0.4
"Good product, good company, awful app, slow, clunky, and no fingerprint authentication",-0.09,"'authentication : touch id' , 'app quality : terrible app' , 'app functionality : slow'",01/12/2018,Google Play,2.4.1,2,"Good product, good company, awful app, slow, clunky, and no fingerprint authentication",,0,,,-0.09
"First time customer, first time Atom app user. I'm impressed.",0.28,'other',31/01/2018,Google Play,1.9,5,"First time customer, first time Atom app user. I'm impressed.",,0,,,0.28
Cool and easy to use! great logical process,0.71,'app functionality : easy to use',18/06/2019,Google Play,2.6.1,5,Cool and easy to use! great logical process,,0,,,0.71
Signed up without a problem. Only minor issue is that app doesn't support landscape on my pixel c tablet which makes the face capture awkward as the outline is rotated 90 degrees.,-0.05,'app functionality : app fails',30/08/2017,Google Play,1.8,4,Signed up without a problem. Only minor issue is that app doesn't support landscape on my pixel c tablet which makes the face capture awkward as the outline is rotated 90 degrees.,,0,,,-0.05
Updated app as was advised.  Now I can't open app just states need to update in play which I have already done.  My funds mature in days and I now can't access anything.,-0.38,"'app issues : can't open app' , 'app issues : app notification' , 'updates and versions : updated app' , 'updates and versions : latest version'",26/02/2018,Google Play,2.0.1,2,Updated app as was advised.  Now I can't open app just states need to update in play which I have already done.  My funds mature in days and I now can't access anything.,,2,,,-0.38
It works but facial recognition is hit and miss at best. Really should have fingerprint recognition as well,-0.01,"'authentication : face recognition' , 'authentication : touch id'",16/10/2018,Google Play,2.4.1,3,It works but facial recognition is hit and miss at best. Really should have fingerprint recognition as well,,0,,,-0.01
"The app was easy enough to use... Until it came to actually opening an account. I repeatedly tried to go through the process for it to keep failing and not tell me any reason why. Customer service were unhelpful, giving confusing and contradictory information without actually providing any resolution to the issue. Thankfully, having read other reviews on here, I hadn't opened an account so I will now be investing elsewhere.",-0.29,"'account admin : opening an account' , 'customer support : customer service' , 'app functionality : easy to use' , 'app design : app is simple' , 'app issues : problems accessing account'",30/01/2018,Google Play,,1,"The app was easy enough to use... Until it came to actually opening an account. I repeatedly tried to go through the process for it to keep failing and not tell me any reason why. Customer service were unhelpful, giving confusing and contradictory information without actually providing any resolution to the issue. Thankfully, having read other reviews on here, I hadn't opened an account so I will now be investing elsewhere.",,0,,,-0.29
easy to use,0.6,'app functionality : easy to use',19/05/2019,Google Play,2.6.1,5,easy to use,,0,,,0.6
Very easy to use. Very good interest rate.,0.64,"'app functionality : easy to use' , 'works well : very good' , 'interest rates : good rate of interest'",02/05/2019,Google Play,2.6.1,5,Very easy to use. Very good interest rate.,,1,,,0.64
"Been trying to create my id for 3 days but keeps crashing after taking photo. So unable to open account,support cant offer any help. Unfit for purpose.",-0.61,"'account admin : opening an account' , 'customer support : help'",14/09/2016,Google Play,1.2.2,1,"Been trying to create my id for 3 days but keeps crashing after taking photo. So unable to open account,support cant offer any help. Unfit for purpose.",,0,,,-0.61
App worked on my 3 year old Moto phone but doesn't work on new Moto One Vision. Shame as I have 3 Bonds.,-0.38,'other',14/11/2019,Google Play,2.6.3,1,App worked on my 3 year old Moto phone but doesn't work on new Moto One Vision. Shame as I have 3 Bonds.,,0,,,-0.38
Smooth,0.48,'other',25/08/2019,Google Play,2.6.3,4,Smooth,,0,,,0.48
"Found this application easy to use and install. I like the ability to either use biometrics, voice recognition or a numerical pass system to access my account. I also love the interest rates! I have rung the call centre too and found the service to be good. I'm in my 60's and have a certain level of computer literacy. I think anyone of any age would find it easy to set up with a similar level of understanding. But you would already be using tablets and smartphones any way to access the App.",0.2,"'access the app : access the app' , 'app functionality : app set up' , 'authentication : biometrics' , 'authentication : face recognition' , 'customer support : called helpline' , 'app functionality : found it user friendly' , 'app functionality : easy to use' , 'app functionality : easy to set up' , 'authentication : voice recognition' , 'works well : services was great' , 'interest rates : interest rates' , 'app issues : problems accessing account'",27/11/2017,Google Play,1.9,5,"Found this application easy to use and install. I like the ability to either use biometrics, voice recognition or a numerical pass system to access my account. I also love the interest rates! I have rung the call centre too and found the service to be good. I'm in my 60's and have a certain level of computer literacy. I think anyone of any age would find it easy to set up with a similar level of understanding. But you would already be using tablets and smartphones any way to access the App.",,0,,,0.2
Won't accept invitation code,-0.68,'other',11/09/2016,Google Play,1.2.2,1,Won't accept invitation code,,1,,,-0.68
Very difficult to use,-0.79,'app functionality : difficult to use',20/08/2018,Google Play,2.3,2,Very difficult to use,,1,,,-0.79
"Having entered this app, there is No way out other than 'Uninstall'.  AVOID AT ALL COSTS.",-0.55,'other',12/09/2016,Google Play,,1,"Having entered this app, there is No way out other than 'Uninstall'.  AVOID AT ALL COSTS.",,0,,,-0.55
Useful for balance views. Need to add bubble for the months interest,0.17,'other',25/03/2018,Google Play,2.1,4,Useful for balance views. Need to add bubble for the months interest,,0,,,0.17
Navigation in the app is painfully slow due to loads over over-designed animation. Information density is also really poor on the main screens.  The facial recognition didn't work in the current version. It used to be fine but no longer picks up a face at all.  The actual banking aspect of the app seems okay. I'm disappointed that there's still no current account after so much time but the basic systems seen to work quite nicely.,-0.48,"'banking services : banking apps' , 'app quality : annoying' , 'account admin : no current account' , 'authentication : face recognition not working' , 'updates and versions : compared to previous version' , 'app functionality : slow' , 'updates and versions : latest version'",11/09/2017,Google Play,1.8.1,2,Navigation in the app is painfully slow due to loads over over-designed animation. Information density is also really poor on the main screens.  The facial recognition didn't work in the current version. It used to be fine but no longer picks up a face at all.  The actual banking aspect of the app seems okay. I'm disappointed that there's still no current account after so much time but the basic systems seen to work quite nicely.,,1,,,-0.48
Can't reset up on need machine,-0.31,'other',17/12/2016,Google Play,1.3.3,1,Can't reset up on need machine,,0,,,-0.31
Despite trying on two different OS installs the app only states 'That shouldn't have happened'.  I can't get to the main login screen and even the 'Get help' button from the error page crashes straight back to the same error page again.,-0.59,"'customer support : help' , 'install : installing the app' , 'authentication : logging in'",11/04/2017,Google Play,1.6.1,1,Despite trying on two different OS installs the app only states 'That shouldn't have happened'.  I can't get to the main login screen and even the 'Get help' button from the error page crashes straight back to the same error page again.,,2,,,-0.59
"Much better since the facial recognition had been revamped. Good interest 
rates. Nice clean app",0.33,"'authentication : face recognition' , 'interest rates : good rate of interest'",23/06/2018,Google Play,,4,"Much better since the facial recognition had been revamped. Good interest 
rates. Nice clean app",,0,,,0.33
Easy to navigate,0.6,'app functionality : easy to use',05/09/2019,Google Play,2.6.3,5,Easy to navigate,,0,,,0.6
In a word crap,-0.76,'other',09/03/2017,Google Play,1.5.2,1,In a word crap,,0,,,-0.76
easy and straight forward to use,0.93,'app functionality : easy to use',14/01/2019,Google Play,2.4.1,5,easy and straight forward to use,,0,,,0.93
Looks good. Doesn't seem to like it if you move to Sd card esp if in samsung secure folder. Shouldn't offer option if not valid.,-0.17,"'app design : looks good' , 'app functionality : secure'",02/12/2017,Google Play,1.9,4,Looks good. Doesn't seem to like it if you move to Sd card esp if in samsung secure folder. Shouldn't offer option if not valid.,,0,,,-0.17
"Found the whole process from downloading the app to setting up my account straightforward, would recommend, and thank you to Jordan for his advice on the query I had.",0.04,"'app functionality : app set up' , 'install : downloaded the app'",15/03/2017,Google Play,1.5.2,5,"Found the whole process from downloading the app to setting up my account straightforward, would recommend, and thank you to Jordan for his advice on the query I had.",,0,,,0.04
Looks a bit too gismo-y. Face recognition doesn't work. I'm sick of blinking. So I just send up using an old fashioned one off code. Other banks have 2 levels. Sure it will get better but think it would be helpful if more effort went into the working rather than the flash.,-0.29,"'authentication : blink to register' , 'customer support : help' , 'authentication : face recognition not working'",20/09/2016,Google Play,1.2.3,2,Looks a bit too gismo-y. Face recognition doesn't work. I'm sick of blinking. So I just send up using an old fashioned one off code. Other banks have 2 levels. Sure it will get better but think it would be helpful if more effort went into the working rather than the flash.,,2,,,-0.29
Easy to use.  No real problems with the biometrics.  I've been making sure that the light in the room is good and that the background noise is minimal.,0.31,'app functionality : easy to use',26/02/2017,Google Play,1.5,5,Easy to use.  No real problems with the biometrics.  I've been making sure that the light in the room is good and that the background noise is minimal.,,0,,,0.31
"I felt I should counter some very negative reviews with my own experience.  I downloaded the app and opened an account within a few minutes.   The process is relatively smooth, the biometric log on is refreshing in its simplicity and convenience.   The app front end is nice and modern although it has occasional irritants and glitches.  I'm willing to stick with these for a while as the bank is new and continually improving the app.  I now my faith isn't misplaced and for now I think 4 starts is fair.",-0.02,"'account admin : opening an account' , 'install : downloaded the app' , 'app functionality : app improvements' , 'authentication : logging in' , 'app quality : negative reviews'",02/03/2017,Google Play,1.5.2,4,"I felt I should counter some very negative reviews with my own experience.  I downloaded the app and opened an account within a few minutes.   The process is relatively smooth, the biometric log on is refreshing in its simplicity and convenience.   The app front end is nice and modern although it has occasional irritants and glitches.  I'm willing to stick with these for a while as the bank is new and continually improving the app.  I now my faith isn't misplaced and for now I think 4 starts is fair.",,13,,,-0.02
Watch this space!,-0.01,'other',20/09/2016,Google Play,1.2.3,3,Watch this space!,,0,,,-0.01
Super easy to open and manage. No problems login in. So far really happy,0.57,'authentication : logging in',17/07/2018,Google Play,2.2.4,5,Super easy to open and manage. No problems login in. So far really happy,,0,,,0.57
Have to say it sounded good when I watched this morning. But having tried to open an account it would open it saying that it couldn't find me. I tried the online help and they just said try again. I suggested it might be that I've got married but that was 2 years ago so no idea why it doesn't work. I've given up trying,-0.1,"'account admin : opening an account' , 'customer support : help'",14/03/2017,Google Play,,2,Have to say it sounded good when I watched this morning. But having tried to open an account it would open it saying that it couldn't find me. I tried the online help and they just said try again. I suggested it might be that I've got married but that was 2 years ago so no idea why it doesn't work. I've given up trying,,0,,,-0.1
Good,0,'nothing',09/09/2018,Google Play,2.3,5,Good,,0,,,0
Aweful. Only the pin works.,-0.6,'authentication : pin',02/03/2017,Google Play,1.5.2,1,Aweful. Only the pin works.,,0,,,-0.6
App account home page says I have only a few days left to fund my account. Its 3 months out of date. Does not instill confidence......,-0.18,'access the app : account in the app',28/05/2017,Google Play,1.7.1,2,App account home page says I have only a few days left to fund my account. Its 3 months out of date. Does not instill confidence......,,1,,,-0.18
...,0,'nothing',08/09/2016,Google Play,1.2,5,...,,1,,,0
Thought i would give it another try- how silly of me! System still unable to open a savings account as Noodle doesnt have a credit report for me! Could it be that I dont really use credit? But despite that have well above ratings with Equifax. Also- was trying to open a Savings account- i dont need credit! Perhaps Atom is after customers likely to be in debt (i.e. have credit) rather than customers who dont need it- allowing them to sell other Atom products at a future date? This is not a 21st century bank- seems u dont want investors and you use systems not sophisticated enough to determine customer backgrounds! So whilst its interests rates are attractive it doesnt seem to want my money! I wont waste my time on Atom bank again. Pls no advisory feedback- it doesnt cut it!!,-0.31,"'account admin : opening an account' , 'account admin : saver account' , 'interest rates : interest rates' , 'app quality : waste of time'",17/11/2017,Google Play,1.9,1,Thought i would give it another try- how silly of me! System still unable to open a savings account as Noodle doesnt have a credit report for me! Could it be that I dont really use credit? But despite that have well above ratings with Equifax. Also- was trying to open a Savings account- i dont need credit! Perhaps Atom is after customers likely to be in debt (i.e. have credit) rather than customers who dont need it- allowing them to sell other Atom products at a future date? This is not a 21st century bank- seems u dont want investors and you use systems not sophisticated enough to determine customer backgrounds! So whilst its interests rates are attractive it doesnt seem to want my money! I wont waste my time on Atom bank again. Pls no advisory feedback- it doesnt cut it!!,,3,,,-0.31
"On my phone at least, this app is not stable or useable. Any process, including login, takes ages and often times out and requires new login. The in-app chat agents appear quickly but my messages to them always remain unsent, with the little circle turning. A ""Whoops - that shouldn't happen..."" often comes up, then stuck there. Some investment in hiring capable app developers may be needed. Please don't ask me to call, I'm not in UK at present.",-0.29,"'customer support : chat facility' , 'works well : quick' , 'authentication : logging in'",10/03/2017,Google Play,1.5.2,1,"On my phone at least, this app is not stable or useable. Any process, including login, takes ages and often times out and requires new login. The in-app chat agents appear quickly but my messages to them always remain unsent, with the little circle turning. A ""Whoops - that shouldn't happen..."" often comes up, then stuck there. Some investment in hiring capable app developers may be needed. Please don't ask me to call, I'm not in UK at present.",,0,,,-0.29
Poorly designed app that's slow and doesn't feel Androidy at all.,-0.78,"'app design : app design' , 'app functionality : slow'",18/07/2017,Google Play,1.8,2,Poorly designed app that's slow and doesn't feel Androidy at all.,,0,,,-0.78
"UI is a bit weird, scrolling down on a savings account removes the detail and shows prediction bubbles? Overview doesn't show anything new, just a simple summary. Not really sure that this is the future of banking. It's just basic online/app banking with some colours and animations (FYI: I don't want to wait for animations to happen before I get to see the information I'm after... It's cute the first time, but just annoying every time after that).",-0.14,"'account admin : saver account' , 'app functionality : ui' , 'app quality : annoying'",13/09/2016,Google Play,1.2.2,2,"UI is a bit weird, scrolling down on a savings account removes the detail and shows prediction bubbles? Overview doesn't show anything new, just a simple summary. Not really sure that this is the future of banking. It's just basic online/app banking with some colours and animations (FYI: I don't want to wait for animations to happen before I get to see the information I'm after... It's cute the first time, but just annoying every time after that).",,1,,,-0.14
Unreliable,-0.89,'other',31/07/2017,Google Play,1.8,3,Unreliable,,0,,,-0.89
Excellent,0.56,'other',28/02/2019,Google Play,2.6,5,Excellent,,0,,,0.56
Probably as I'm older than 13. Are you trying to get me to invest money with you or purchase a kid's toy? My Little Pony (tm) Express maybe?  Also need to exit the app without killing it (ie exit using the back button).,-0.26,'access the app',21/09/2016,Google Play,1.2.3,2,Probably as I'm older than 13. Are you trying to get me to invest money with you or purchase a kid's toy? My Little Pony (tm) Express maybe?  Also need to exit the app without killing it (ie exit using the back button).,,1,,,-0.26
No clue how it works. They ask to accept terms n conditions all the time. But there is no clear way to do so.,-0.4,'app quality',15/11/2017,Google Play,1.8.1,1,No clue how it works. They ask to accept terms n conditions all the time. But there is no clear way to do so.,,0,,,-0.4
"Not very impressed so far. The app just will not open. All I get is the loading screen for several minutes then an error message showing saying that the app is really popular right now, go and have a cup of tea or try again. And that's it. Not a very good excuse - I've never had a similar message from any other  app, including banking apps. No suggestions as to how to get it to work. I have a Motorola Moto G third generation running Android Marshmallow 6.0.1, but my wife has a much newer Samsung and it's exactly the same for her. Called the helpline but the only suggestion was uninstalling, using a pass code and reinstalling, which didn't work. Will try again tomorrow but I've spent over half an hour trying to sort this out already. Really frustrating as using the app is the only way of completing our mortgage offer.",-0.33,"'banking services : banking apps' , 'customer support : called helpline' , 'works well : very good' , 'access the app : using this app' , 'app issues : can't open app'",26/02/2018,Google Play,2.0.1,1,"Not very impressed so far. The app just will not open. All I get is the loading screen for several minutes then an error message showing saying that the app is really popular right now, go and have a cup of tea or try again. And that's it. Not a very good excuse - I've never had a similar message from any other  app, including banking apps. No suggestions as to how to get it to work. I have a Motorola Moto G third generation running Android Marshmallow 6.0.1, but my wife has a much newer Samsung and it's exactly the same for her. Called the helpline but the only suggestion was uninstalling, using a pass code and reinstalling, which didn't work. Will try again tomorrow but I've spent over half an hour trying to sort this out already. Really frustrating as using the app is the only way of completing our mortgage offer.",,2,,,-0.33
"Dreadful. The app looks like a part finished high school student's project. It simply doesn't work. The intro videos give silent pink screens, the buttons which should give details give a token bit of text, once in the portal you give stuck in an infinite loop of logging out until you tap on the correct back portion of a black screen and the back/home/other apps open buttons disappear. The only way to get out of the app and back to this screen was to turn my tablet off and on again. I can't trust a bank who can't get the basics right.",-0.47,'banking services',13/03/2017,Google Play,1.5.2,1,"Dreadful. The app looks like a part finished high school student's project. It simply doesn't work. The intro videos give silent pink screens, the buttons which should give details give a token bit of text, once in the portal you give stuck in an infinite loop of logging out until you tap on the correct back portion of a black screen and the back/home/other apps open buttons disappear. The only way to get out of the app and back to this screen was to turn my tablet off and on again. I can't trust a bank who can't get the basics right.",,0,,,-0.47
UI is different and works well. A little bit of exploring works wonders in finding out what is available and how to drill down into more detail.,0.32,'app functionality : ui',27/09/2016,Google Play,1.2.3,5,UI is different and works well. A little bit of exploring works wonders in finding out what is available and how to drill down into more detail.,,0,,,0.32
"App very slow and unresponsive. Trying to be too fancy. Crashes every time I open my profile settings. I like what Atom are trying to do, but they need to simplify this app big time!",-0.54,"'app functionality : settings' , 'app functionality : slow'",22/11/2016,Google Play,1.3.1,3,"App very slow and unresponsive. Trying to be too fancy. Crashes every time I open my profile settings. I like what Atom are trying to do, but they need to simplify this app big time!",,2,,,-0.54
"Very slick, colourful and helpful",0.58,'customer support : help',06/09/2017,Google Play,1.8.1,5,"Very slick, colourful and helpful",,0,,,0.58
"The chat facility is poor as it's hidden beneath my keyboard so I'm typing blind. Whilst receptive the Atom staff have failed to resolve this issue. If you are an Internet bank then the chat facility needs to be spot on and cater for all phones and keyboards. In addition this app eats power. None of my other apps are as power hungry. This app needs some serious modifications because at present it is very poor. In addition, you can't draw off a statement. Surely a pdf statement should be available on demand. Although the Atom Bank reply below invites feedback they do nothing to improve this very amateurish App. In addition the face recognition doesn't work. Possibly the worst App I've ever used #VeryPoor",-0.32,"'customer support : atom staff' , 'suspicious reviews : chat facility is poor' , 'app quality : very poor' , 'banking services : internet bank' , 'customer support : chat facility' , 'access the app : using this app' , 'authentication : face recognition not working' , 'suspicious reviews : staff have failed to resolve this issue' , 'app quality : terrible app'",07/10/2018,Google Play,2.4,1,"The chat facility is poor as it's hidden beneath my keyboard so I'm typing blind. Whilst receptive the Atom staff have failed to resolve this issue. If you are an Internet bank then the chat facility needs to be spot on and cater for all phones and keyboards. In addition this app eats power. None of my other apps are as power hungry. This app needs some serious modifications because at present it is very poor. In addition, you can't draw off a statement. Surely a pdf statement should be available on demand. Although the Atom Bank reply below invites feedback they do nothing to improve this very amateurish App. In addition the face recognition doesn't work. Possibly the worst App I've ever used #VeryPoor",,2,,,-0.32
That has always worked. The answered the phone promptly if you do have a question.,0.32,'works well : quick',09/03/2019,Google Play,2.6.1,5,That has always worked. The answered the phone promptly if you do have a question.,,4,,,0.32
"Incredibly immature app. Can't enter the code required, couldn't even leave the application. Did you do any testing?",-0.17,'app quality',12/09/2016,Google Play,1.2.2,1,"Incredibly immature app. Can't enter the code required, couldn't even leave the application. Did you do any testing?",,0,,,-0.17
"Extremely frustrating experience, app not recognising me blinking. Spent 40 
minutes trying to get it to work and nearly 30 minutes on the phone. Short 
7 day window to make deposit is too short and has prevented me from making 
a number of investments with Atom!!!",-0.31,"'authentication : blink to register' , 'app quality : app experience' , 'app quality : annoying' , 'app functionality : app does not recognise'",14/06/2018,Google Play,2.2.3,1,"Extremely frustrating experience, app not recognising me blinking. Spent 40 
minutes trying to get it to work and nearly 30 minutes on the phone. Short 
7 day window to make deposit is too short and has prevented me from making 
a number of investments with Atom!!!",,0,,,-0.31
"Ghastly. Unintuitive, confusing design. Why is the navigation in weird circles? Feels untrustworthy. Uninstalled immediately.",-0.42,"'works well : quick' , 'app functionality : difficult to use'",20/09/2018,Google Play,2.3,1,"Ghastly. Unintuitive, confusing design. Why is the navigation in weird circles? Feels untrustworthy. Uninstalled immediately.",,0,,,-0.42
"Worked perfectly, very impressed!",0.6,'works well : worked perfectly',02/07/2018,Google Play,,5,"Worked perfectly, very impressed!",,0,,,0.6
I had hoped the redundant account bubbles would be gone this time around. Not sure I can see much different from the previous version. Am I missing something perhaps?,-0.21,'other',06/04/2017,Google Play,1.6.1,3,I had hoped the redundant account bubbles would be gone this time around. Not sure I can see much different from the previous version. Am I missing something perhaps?,,3,,,-0.21
So far so good...easy to use and good features,0.34,'app functionality : easy to use',02/03/2018,Google Play,2.0.1,5,So far so good...easy to use and good features,,0,,,0.34
"Navigation in the app is really sticky and only savings account available at the moment. Bit disappointed, will keep an eye on it though as I really, really want an alternative to high street banks.",-0.2,"'account admin : saver account' , 'app quality : annoying'",14/09/2016,Google Play,1.2.2,2,"Navigation in the app is really sticky and only savings account available at the moment. Bit disappointed, will keep an eye on it though as I really, really want an alternative to high street banks.",,0,,,-0.2
Never lets me sign in rubbish,-0.84,'authentication : logging in',07/09/2018,Google Play,2.3,1,Never lets me sign in rubbish,,1,,,-0.84
"Seems to be little better than a beta version, and is very very unimpressive for an outfit that wants us to trust it with our money. They have had ages to develop this app and it fails on first basic function! That is very worrying.",-0.21,'other',12/09/2016,Google Play,1.2.2,1,"Seems to be little better than a beta version, and is very very unimpressive for an outfit that wants us to trust it with our money. They have had ages to develop this app and it fails on first basic function! That is very worrying.",,0,,,-0.21
update won't install. How can i access funds?    I have now installed the app on my ipad easily & successfully.  It appears that Android phones are less tolerant.  Pleased with the good interest rates offered by Atom.,-0.11,"'interest rates : good rate of interest' , 'updates and versions : latest version'",01/03/2019,Google Play,2.1,4,update won't install. How can i access funds?    I have now installed the app on my ipad easily & successfully.  It appears that Android phones are less tolerant.  Pleased with the good interest rates offered by Atom.,,0,,,-0.11
I had 2 attempts at registering on both smartphone and tablet failed in all 4 attempts. Text boxes don't display properly on my devices samsung s2 tab and s4 phone. I like the approach of this app but just can't work for me.,-0.35,'other',12/12/2018,Google Play,,1,I had 2 attempts at registering on both smartphone and tablet failed in all 4 attempts. Text boxes don't display properly on my devices samsung s2 tab and s4 phone. I like the approach of this app but just can't work for me.,,0,,,-0.35
